Age,Revenu_Mensuel_Estime,Score_Fidelite,Sensibilite_Promo,Panier_Moyen,Frequence_Achat_Mois,Temps_Session_Sec,Score_Tech_Device,Taux_Abandon_Panier,Note_Satisfaction,Nombre_Pages_Vues,Jours_Depuis_Dernier_Achat
38,5569.29,70,0.54,885.14,2,501.18,0.0,0.51,3,16,109
33,3769.33,2,0.45,470.55,1,524.23,1.0,0.25,4,17,307
62,5914.44,6,0.43,859.46,1,419.26,0.0,0.39,4,13,291
35,4681.29,44,0.47,811.68,1,577.23,0.0,0.31,5,19,181
64,4498.58,6,0.06,557.64,1,540.48,0.0,0.39,3,18,292
70,5274.12,59,0.45,758.97,1,315.53,0.0,0.64,3,10,127
41,5153.12,15,0.28,734.15,1,353.87,1.0,0.44,5,11,265
43,4567.2,60,0.38,804.24,2,266.87,1.0,0.36,2,8,139
42,7592.28,58,0.49,1080.45,3,498.0,1.0,0.6,5,16,126
62,5034.83,95,0.47,866.24,3,494.0,1.0,0.39,5,16,22
58,4311.89,27,0.43,625.32,1,325.48,0.0,0.25,5,10,232
46,4912.85,66,0.3,724.21,2,345.07,1.0,0.25,5,11,107
32,3957.78,35,0.9,622.36,2,321.91,0.0,0.44,3,10,212
62,3764.8,47,0.53,541.96,2,620.32,1.0,0.28,5,20,166
18,4555.44,23,0.64,751.23,1,137.52,0.0,0.51,4,4,242
42,5671.28,61,0.36,650.81,3,382.24,0.0,0.31,2,12,132
24,4813.78,21,0.43,591.48,1,189.9,0.0,0.33,5,6,238
26,4360.43,69,0.66,645.33,3,95.29,0.0,0.38,5,3,108
41,4505.01,72,0.49,735.73,1,476.99,0.0,0.59,3,15,89
18,3892.61,99,0.51,638.41,2,95.61,0.0,0.27,5,3,13
61,5317.57,75,0.44,859.37,2,405.53,1.0,0.5,3,13,75
25,3366.43,14,0.35,421.43,1,192.53,1.0,0.3,4,6,273
41,6180.55,69,0.32,803.42,3,238.36,0.0,0.39,4,7,100
28,5384.97,45,0.35,806.8,2,168.18,0.0,0.36,5,5,168
68,6380.21,56,0.1,870.91,3,480.64,0.0,0.44,4,16,136
34,3933.49,14,0.58,676.75,1,618.94,0.0,0.35,4,20,261
25,4584.77,75,0.3,583.96,3,80.9,1.0,0.42,5,2,93
52,4841.76,13,0.22,602.1,1,322.99,1.0,0.19,5,10,279
52,4802.47,65,0.63,815.01,3,400.71,1.0,0.55,4,13,121
50,4983.9,81,0.54,763.47,3,465.08,0.0,0.4,4,15,71
22,4321.01,61,0.62,633.62,3,158.06,1.0,0.33,5,5,126
59,4959.28,26,0.63,834.98,1,529.57,1.0,0.45,5,17,227
56,5100.93,43,0.5,635.19,2,422.2,1.0,0.39,3,14,178
58,6637.27,80,0.0,942.84,1,446.23,1.0,0.5,3,14,62
45,3126.14,43,0.8,537.96,2,314.03,1.0,0.22,4,10,185
24,4977.01,24,0.3,826.4,1,192.09,0.0,0.27,1,6,247
26,3908.37,42,0.41,595.09,1,175.79,0.0,0.16,5,5,191
25,3539.73,69,0.68,415.9,2,68.34,1.0,0.17,5,2,97
29,3857.23,61,0.72,661.61,2,130.9,0.0,0.24,4,4,135
51,5051.34,61,0.47,657.75,4,501.44,0.0,0.45,4,16,122
50,5928.32,99,0.23,805.55,5,335.3,1.0,0.59,2,11,20
65,5775.46,24,0.46,849.54,2,269.21,0.0,0.49,1,8,238
72,5388.27,15,0.37,670.53,1,468.56,1.0,0.48,4,15,260
40,5290.84,7,0.42,511.51,1,386.49,1.0,0.36,5,12,293
41,4543.99,27,0.23,769.7,2,387.78,0.0,0.41,2,12,238
54,5687.08,70,0.03,827.78,4,407.92,0.0,0.49,5,13,102
52,5351.48,91,0.26,749.95,5,403.17,1.0,0.64,5,13,45
61,4378.08,94,0.25,572.04,6,392.34,1.0,0.34,3,13,26
57,5851.74,57,0.54,1043.72,2,306.68,1.0,0.59,2,10,135
39,2915.79,29,0.34,316.6,1,474.57,1.0,0.21,4,15,223
44,4659.83,2,0.28,818.77,1,279.56,1.0,0.35,4,9,306
52,4070.22,44,0.15,568.99,1,317.89,1.0,0.19,4,10,175
18,1747.34,58,0.86,337.2,2,253.08,0.0,0.04,5,8,136
52,5326.37,68,0.21,876.82,4,151.0,1.0,0.38,3,5,101
54,5993.18,98,0.58,863.71,4,416.05,1.0,0.48,3,13,12
64,5528.63,55,0.39,829.0,2,261.75,1.0,0.56,4,8,141
31,5524.55,3,0.25,693.19,1,350.85,1.0,0.1,3,11,301
20,3800.53,24,0.57,573.95,2,196.0,0.0,0.25,3,6,243
18,3897.34,72,0.6,709.61,4,160.97,1.0,0.63,4,5,101
22,3037.65,46,0.78,436.09,2,141.38,0.0,0.25,3,4,179
43,5302.17,40,0.54,787.27,3,535.93,1.0,0.38,1,17,187
72,6417.39,96,0.12,1040.75,4,234.08,1.0,0.6,4,7,27
31,3822.06,4,0.35,523.32,1,427.89,1.0,0.29,4,14,288
56,3957.89,38,0.58,606.72,2,414.25,1.0,0.37,4,13,205
44,3266.36,69,0.94,628.57,1,650.06,0.0,0.42,2,21,103
26,5047.54,71,0.62,753.47,3,221.44,0.0,0.52,3,7,104
32,3114.06,26,0.99,440.54,1,445.45,0.0,0.08,4,14,241
32,5802.56,98,0.6,799.34,4,183.53,0.0,0.18,2,6,8
43,3936.0,23,0.28,886.9,1,208.2,0.0,0.51,2,6,233
59,5061.68,50,0.36,819.64,1,371.46,1.0,0.42,2,12,165
30,7031.55,98,0.1,1304.61,4,149.82,0.0,0.7,4,4,22
68,5249.13,26,0.37,805.23,1,239.85,1.0,0.39,3,7,241
49,3995.82,39,0.54,631.96,2,456.9,1.0,0.18,5,15,194
56,4900.84,95,0.61,761.66,4,382.0,1.0,0.41,3,12,34
66,4122.9,14,0.14,699.98,1,522.29,1.0,0.35,3,17,271
69,5477.74,45,0.47,692.04,3,493.22,1.0,0.25,3,16,165
49,5032.21,71,0.49,654.52,3,405.4,1.0,0.3,5,13,90
21,4833.67,30,0.52,815.51,1,203.11,0.0,0.35,4,6,221
47,5389.66,71,0.21,563.08,3,316.28,0.0,0.17,4,10,102
54,5305.73,38,0.46,697.86,1,143.72,0.0,0.28,4,4,201
40,6749.94,93,0.05,1122.56,5,294.65,1.0,0.71,5,9,31
56,5840.08,87,0.32,739.67,3,377.5,0.0,0.4,3,12,45
62,6915.14,37,0.1,1063.93,1,473.54,1.0,0.54,5,15,200
32,5171.13,1,0.21,641.26,1,255.75,0.0,0.39,3,8,313
60,6796.36,31,0.0,841.41,1,376.29,1.0,0.51,4,12,216
46,5987.52,47,0.42,893.24,1,334.72,1.0,0.51,4,11,175
53,5954.34,54,0.16,936.34,3,483.26,0.0,0.49,4,16,145
30,4809.75,70,0.36,649.37,2,380.35,0.0,0.42,2,12,98
49,6445.74,96,0.28,820.18,3,262.14,0.0,0.26,5,8,24
24,3374.09,86,0.33,574.34,3,171.44,0.0,0.34,1,5,57
68,4985.97,92,0.5,840.11,4,363.51,0.0,0.3,3,12,26
39,2963.61,45,0.68,526.57,4,324.19,0.0,0.06,4,10,175
45,5324.24,31,0.07,763.93,1,278.46,1.0,0.3,1,9,216
19,4921.91,44,0.26,794.43,1,259.27,0.0,0.42,4,8,181
59,4320.49,48,0.65,720.05,2,448.38,1.0,0.37,5,14,156
62,4755.55,92,0.64,736.63,3,457.28,0.0,0.25,4,15,25
74,7400.99,11,0.26,1017.99,1,396.96,1.0,0.48,4,13,280
70,6494.22,37,0.04,1000.44,2,306.44,0.0,0.67,4,10,207
23,4570.72,1,0.31,664.1,1,164.09,0.0,0.27,2,5,305
45,5214.94,70,0.12,876.73,4,432.39,1.0,0.36,4,14,106
45,4588.01,39,0.57,565.1,1,608.86,1.0,0.26,5,20,185
61,3885.31,61,0.26,473.14,2,372.75,1.0,0.14,4,12,131
61,6032.12,7,0.59,1091.17,1,365.96,1.0,0.61,3,12,281
37,6611.64,18,0.16,1053.87,1,526.12,1.0,0.57,5,17,252
47,5179.28,61,0.29,851.54,2,441.45,0.0,0.37,4,14,118
28,2976.49,53,0.53,324.98,1,258.94,1.0,0.17,1,8,150
72,5679.73,36,0.15,982.41,1,431.97,1.0,0.51,3,14,202
45,5750.02,72,0.28,921.74,4,182.32,1.0,0.41,2,6,97
42,5748.92,14,0.1,945.27,1,108.33,0.0,0.35,4,3,273
56,6797.56,24,0.35,1055.49,1,386.35,1.0,0.43,3,12,230
50,6060.39,63,0.41,1123.86,3,445.98,1.0,0.63,4,14,115
18,1722.46,11,0.83,462.55,1,180.53,0.0,0.15,3,6,284
74,6189.42,66,0.4,1080.99,3,319.98,1.0,0.6,4,10,118
44,3318.06,74,0.42,683.82,1,370.62,1.0,0.33,5,12,90
74,6594.48,95,0.0,924.33,5,316.82,1.0,0.58,5,10,32
69,6492.2,87,0.28,942.56,4,430.46,0.0,0.2,4,14,52
30,3379.42,8,0.55,563.27,1,324.65,0.0,0.31,5,10,286
58,5019.52,20,0.39,991.83,1,568.08,1.0,0.54,5,18,249
20,3157.04,31,0.4,311.7,1,177.92,0.0,0.14,3,5,218
56,6060.78,5,0.25,826.12,1,489.19,0.0,0.39,4,16,296
23,3841.24,83,0.29,596.83,5,273.63,0.0,0.16,5,9,64
25,3357.71,15,0.8,385.57,1,50.66,1.0,0.18,2,1,269
44,5545.34,50,0.3,930.29,1,530.26,0.0,0.51,3,17,166
26,4649.63,91,0.7,841.9,3,180.81,0.0,0.4,5,6,36
54,5978.51,85,0.29,927.77,3,392.06,1.0,0.41,3,13,59
50,3458.49,42,0.42,666.74,2,494.29,1.0,0.27,4,16,191
68,5139.41,86,0.51,887.1,6,254.37,0.0,0.54,3,8,54
59,6039.75,32,0.02,1028.14,4,486.22,0.0,0.54,4,16,207
61,3777.76,6,0.47,493.69,1,548.4,1.0,0.28,3,18,287
41,3005.23,11,0.59,525.58,2,513.79,1.0,0.18,3,17,284
32,3545.99,18,0.1,624.42,1,785.46,0.0,0.3,4,26,251
71,6613.3,46,0.46,960.51,1,596.35,1.0,0.64,3,19,179
49,4971.32,63,0.49,833.33,2,535.1,0.0,0.42,1,17,115
49,5466.91,77,0.03,571.64,3,109.95,1.0,0.3,4,3,71
41,3656.2,24,0.61,552.0,2,325.37,1.0,0.21,4,10,229
58,4326.09,92,0.23,729.96,5,591.43,1.0,0.54,1,19,29
69,7151.82,70,0.17,949.1,3,280.6,1.0,0.6,4,9,102
66,6064.62,58,0.06,905.92,3,115.43,0.0,0.26,5,3,138
66,4565.09,19,0.44,794.72,1,524.28,0.0,0.38,4,17,254
69,3782.1,52,0.61,548.87,4,438.08,0.0,0.44,5,14,149
29,2752.47,94,0.71,360.59,1,138.2,0.0,0.26,4,4,31
56,4183.49,36,0.41,536.46,1,385.08,1.0,0.14,4,12,209
19,2490.14,37,0.56,349.08,1,221.96,0.0,0.31,3,7,207
20,3766.31,99,0.47,561.89,4,219.92,1.0,0.11,4,7,13
66,6311.51,99,0.41,971.21,4,298.71,0.0,0.52,5,9,13
54,5069.85,20,0.46,998.69,2,295.3,1.0,0.51,4,9,243
66,5184.95,63,0.5,772.96,3,273.73,1.0,0.31,4,9,122
73,6263.45,83,0.21,872.22,5,496.77,1.0,0.62,3,16,62
34,4021.59,46,0.7,747.86,1,334.61,0.0,0.54,4,11,177
66,3926.1,48,0.81,516.76,2,567.15,1.0,0.37,5,18,174
19,3962.75,96,0.23,511.19,4,111.32,1.0,0.25,1,3,17
19,4152.54,93,0.27,477.78,5,142.48,0.0,0.45,4,4,28
45,6003.5,81,0.47,814.55,4,508.09,1.0,0.33,5,16,59
71,6761.41,49,0.5,782.79,1,305.83,1.0,0.42,3,10,163
40,4040.29,1,0.27,570.3,1,380.18,0.0,0.21,4,12,299
54,4943.02,73,0.11,595.06,3,589.52,1.0,0.23,3,19,92
49,4995.23,48,0.22,643.7,3,404.15,0.0,0.27,5,13,173
50,5213.6,59,0.25,746.09,3,457.19,1.0,0.45,4,15,142
18,5214.32,8,0.38,828.32,1,113.22,0.0,0.52,4,3,285
36,4373.76,21,0.61,535.28,1,430.78,1.0,0.38,3,14,240
19,3239.51,22,0.56,271.41,1,231.0,0.0,0.24,2,7,246
70,7041.9,53,0.47,1072.55,4,516.23,1.0,0.81,2,17,158
61,6657.58,51,0.16,1097.41,1,338.18,1.0,0.62,4,11,164
43,5620.0,41,0.16,904.46,1,312.74,1.0,0.41,5,10,178
49,3356.55,49,0.39,581.81,1,342.34,0.0,0.44,5,11,168
23,4000.79,68,0.41,712.81,2,162.91,1.0,0.32,5,5,99
49,4725.83,50,0.45,692.96,3,191.38,1.0,0.19,2,6,157
72,6316.5,80,0.19,959.62,4,206.6,1.0,0.48,4,6,68
21,2969.08,97,0.55,398.41,3,46.13,0.0,0.28,5,1,9
72,6699.97,7,0.1,922.66,1,378.06,1.0,0.54,5,12,297
28,4477.64,38,0.28,643.77,1,245.23,0.0,0.32,4,8,200
73,6795.29,22,0.2,991.29,1,418.02,0.0,0.51,4,13,234
34,3612.05,76,0.95,601.95,5,441.22,0.0,0.28,4,14,85
55,5465.08,56,0.25,654.55,1,122.38,1.0,0.35,4,4,143
41,5428.53,41,0.4,677.82,1,675.09,1.0,0.32,5,22,187
22,1330.62,17,0.74,299.49,1,165.36,0.0,0.31,4,5,267
69,6426.87,49,0.54,969.5,1,263.6,0.0,0.39,4,8,171
51,4679.47,89,0.3,709.76,3,231.2,1.0,0.4,4,7,44
23,3896.34,79,0.43,430.86,4,108.7,0.0,0.19,4,3,63
39,5812.55,60,0.0,874.53,5,551.81,0.0,0.37,2,18,127
28,5211.56,45,0.0,741.18,1,144.84,0.0,0.28,5,4,179
65,5020.92,37,0.33,763.52,3,443.34,0.0,0.39,4,14,194
33,2632.24,42,0.56,371.65,1,352.98,0.0,0.09,4,11,189
50,4923.36,49,0.49,613.6,4,474.96,1.0,0.15,4,15,161
26,5102.54,72,0.47,745.49,4,242.51,1.0,0.33,4,8,103
23,5234.44,37,0.39,921.05,1,250.9,0.0,0.53,4,8,200
33,2227.48,5,0.82,253.64,1,491.0,0.0,0.25,5,16,292
46,5437.51,4,0.44,728.75,1,398.5,1.0,0.44,4,13,307
20,4261.95,73,0.55,756.66,3,250.02,1.0,0.25,5,8,92
37,5252.01,86,0.23,610.44,3,557.24,0.0,0.52,5,18,44
53,5133.08,69,0.19,773.99,3,448.36,1.0,0.46,5,14,98
36,2670.12,12,0.61,327.93,1,314.69,0.0,0.22,3,10,264
43,4261.87,8,0.39,735.59,1,362.94,1.0,0.47,2,12,276
20,2880.31,37,0.68,379.08,2,204.09,0.0,0.25,4,6,201
36,3406.09,31,0.77,413.23,2,424.23,1.0,0.3,5,14,208
37,5263.8,15,0.28,704.4,2,142.31,0.0,0.35,5,4,258
49,4789.38,80,0.44,867.13,4,461.78,1.0,0.33,3,15,75
24,4353.72,95,0.85,689.01,4,301.65,0.0,0.29,4,10,25
69,6816.21,31,0.21,1186.11,1,375.34,0.0,0.62,4,12,212
58,3594.79,3,0.65,517.41,1,447.19,1.0,0.25,3,14,307
50,6603.34,54,0.51,1014.51,1,306.19,1.0,0.46,5,10,140
57,7066.54,11,0.08,910.93,1,361.36,1.0,0.36,5,12,268
56,3464.15,50,0.7,511.24,3,377.75,1.0,0.18,4,12,163
35,5092.65,27,0.19,772.63,2,350.67,1.0,0.48,3,11,221
57,7269.41,5,0.02,1246.75,1,323.72,1.0,0.29,2,10,302
18,2323.44,3,0.64,411.18,1,193.62,0.0,0.29,4,6,306
28,2947.3,7,0.73,345.01,1,222.67,0.0,0.05,4,7,280
45,5613.57,28,0.71,775.93,2,464.73,1.0,0.39,1,15,231
74,6418.54,26,0.04,839.58,1,419.12,0.0,0.43,4,13,239
42,4898.26,60,0.61,727.53,3,137.12,1.0,0.47,4,4,125
67,5429.73,59,0.49,860.92,1,420.35,1.0,0.52,4,14,135
40,4755.26,85,0.45,814.99,3,161.87,0.0,0.45,1,5,59
48,2404.45,61,0.75,368.91,3,379.15,1.0,0.32,5,12,121
47,3680.29,49,0.68,455.13,2,485.1,1.0,0.24,1,16,155
59,5247.97,63,0.35,713.04,3,432.91,1.0,0.38,3,14,130
52,2969.77,45,0.54,503.6,2,385.57,1.0,0.42,4,12,173
24,3819.6,46,0.75,686.82,1,300.34,0.0,0.49,4,10,175
33,4302.84,2,0.43,618.94,1,367.25,0.0,0.17,4,12,299
43,3982.73,8,0.53,658.06,1,220.08,1.0,0.34,4,7,290
65,4921.39,89,0.18,658.82,3,525.8,1.0,0.27,4,17,44
74,4914.3,11,0.37,692.25,1,441.15,1.0,0.37,5,14,279
69,5275.8,10,0.06,818.46,1,457.48,1.0,0.28,3,15,277
66,6000.05,75,0.28,918.06,4,407.53,1.0,0.3,2,13,85
19,4189.32,25,0.19,671.87,1,89.47,0.0,0.33,3,2,241
18,4744.56,56,0.06,715.93,2,207.78,1.0,0.32,5,6,135
65,5442.98,82,0.03,873.58,4,375.7,1.0,0.41,2,12,60
29,4617.15,79,0.51,634.95,5,141.55,1.0,0.16,2,4,75
22,2428.71,29,0.5,582.06,2,151.22,0.0,0.37,4,5,220
54,5367.96,59,0.3,923.21,1,532.21,1.0,0.65,4,17,135
49,4737.27,4,0.28,750.19,1,604.29,1.0,0.31,4,20,304
72,6379.4,63,0.29,989.26,2,357.92,0.0,0.39,4,11,118
26,3757.81,36,0.18,574.5,1,203.44,0.0,0.34,2,6,206
58,4943.8,8,0.37,727.45,1,165.7,1.0,0.27,2,5,283
52,4256.76,30,0.39,765.64,2,435.92,1.0,0.23,5,14,222
36,5447.56,65,0.47,880.11,2,463.6,0.0,0.53,2,15,124
65,4986.79,79,0.5,690.39,4,321.42,1.0,0.29,5,10,66
33,6184.45,85,0.0,939.22,3,193.25,0.0,0.45,4,6,64
20,2488.57,87,0.92,433.42,4,151.77,0.0,0.38,3,5,41
37,5651.23,41,0.5,884.39,2,344.01,1.0,0.52,4,11,192
41,2463.63,79,0.78,312.35,4,459.02,0.0,0.37,4,15,80
71,5670.73,19,0.01,773.75,1,204.7,0.0,0.53,3,6,259
73,5332.05,76,0.44,885.96,5,427.04,0.0,0.39,2,14,77
50,5439.47,45,0.46,841.91,1,541.88,1.0,0.49,2,18,183
41,5456.77,62,0.25,781.45,1,465.74,0.0,0.32,4,15,133
69,7694.21,16,0.23,1380.7,1,341.19,1.0,0.84,5,11,262
28,3587.95,20,0.89,607.7,1,136.02,0.0,0.4,3,4,257
66,4903.58,19,0.31,734.4,1,385.05,0.0,0.29,3,12,244
25,4882.21,49,0.21,706.34,2,184.28,1.0,0.29,1,6,171
53,4984.07,86,0.34,849.62,5,413.29,1.0,0.45,4,13,57
55,4564.81,15,0.54,817.55,1,605.24,1.0,0.44,4,20,261
57,4834.54,86,0.39,663.55,4,373.32,0.0,0.36,3,12,56
37,3769.44,10,0.34,482.05,1,430.12,0.0,0.24,4,14,288
52,3410.83,66,0.81,528.05,3,358.21,0.0,0.32,5,11,112
65,7163.02,57,0.07,1055.72,1,546.87,0.0,0.44,4,18,131
42,5168.38,17,0.47,675.49,1,465.54,1.0,0.24,1,15,266
52,3469.32,90,0.7,478.22,3,369.28,1.0,0.21,3,12,35
42,6179.69,48,0.19,863.19,1,508.64,0.0,0.49,4,16,166
46,5017.11,26,0.5,701.69,2,340.8,1.0,0.24,4,11,241
35,4188.31,25,0.82,710.97,1,274.37,1.0,0.2,5,9,228
63,6049.68,91,0.43,984.29,3,345.53,1.0,0.46,4,11,27
35,3964.61,96,0.18,861.46,4,326.72,0.0,0.41,3,10,15
19,2444.43,57,0.66,220.57,2,185.09,1.0,0.13,3,6,137
71,5300.99,82,0.2,868.01,4,478.73,0.0,0.57,3,15,54
52,5006.83,8,0.61,867.78,1,476.59,0.0,0.53,5,15,287
33,3420.17,7,0.57,390.41,1,402.93,0.0,0.0,4,13,289
58,5828.64,83,0.24,664.65,2,501.31,1.0,0.28,3,16,61
53,6399.52,91,0.0,870.14,3,410.66,0.0,0.29,5,13,27
50,4634.7,23,1.0,590.55,1,340.32,0.0,0.29,4,11,242
21,1551.21,84,0.83,191.23,2,154.21,0.0,0.07,5,5,57
50,4833.85,44,0.37,848.16,1,484.49,1.0,0.16,3,16,177
31,3389.83,59,0.27,366.73,3,301.83,0.0,0.12,5,10,125
38,4305.75,9,0.5,607.69,2,559.25,0.0,0.24,4,18,289
65,5372.65,11,0.32,795.64,1,222.22,1.0,0.31,4,7,274
37,3618.72,58,0.57,661.41,3,493.95,0.0,0.43,3,16,131
